S_SRN,D_NAME,C_ID,S_FNAME,S_LNAME,S_EMAIL,S_SDATE,S_DEPT,S_PHNO,S_SEM,S_ROLE,S_PASSWORD
PES1UG21CS408,Social Media,PESURRC020,Meghna,Advani,meghna@gmail.com,2022-10-05',ARCH,9345782733,3,Club Head,PES1UG21CS408
PES1UG21CS409,Social Media,PESURRC021,Sandhya,Ambani,sandhya@gmail.com,2022-10-05',CS,9345787633,6,Club Head,PES1UG21CS409
PES1UG21CS410,Social Media,PESURRC022,Satish,Ambani,satish@gmail.com,2022-10-05',CS,9345702633,5,Club Head,PES1UG21CS410
PES1UG21CS411,Marketting,PESURRC023,Veena,Khanna,veena@gmail.com,2022-10-05',CS,9345082633,5,Club Head,PES1UG21CS411
PES1UG21CS412,Marketting,PESURRC024,Sujith,Khanna,sujith@gmail.com,2022-10-05',CS,9305782633,5,Club Head,PES1UG21CS412
PES1UG21CS413,Campaigning,PESURRC025,Suresh,Sayed,suresh@gmail.com,2022-10-05',EE,9345782630,5,Club Head,PES1UG21CS413
PES1UG21CS414,Campaigning,PESURRC026,Ali,Sayed,ali@gmail.com,2022-10-05',ME,9345782603,5,Club Head,PES1UG21CS414
PES1UG21CS415,Campaigning,PESURRC028,Saniya,Singh,saniya@gmail.com,2022-10-05',ME,9045782633,5,Club Head,PES1UG21CS415
PES1UG21CS416,Logistics,PESURRC029,Sunaina,Lokhande,sunaina@gmail.com,2022-10-05',ME,9745782633,5,Club Head,PES1UG21CS416
PES1UG21CS417,Logistics,PESURRC030,Riddhi,Lokhande,riddhi@gmail.com,2022-10-05',EE,9340782633,5,Club Head,PES1UG21CS417
PES1UG21CS418,Social Media,PESURRC031,Ruhi,Kulkarni,ruhi@gmail.com,2022-10-05',ARCH,9045782633,5,Club Head,PES1UG21CS418
PES1UG21CS419,Marketting,PESURRC032,Prerana,Kulkarni,prerana@gmail.com,2022-10-05',ARCH,7045782633,5,Club Head,PES1UG21CS419
